station_number, station_name, measurement_height, latitude, longitude, readings_from, readings_to, elevation
150450,Skellefteå,2,64.7584,20.9478,10/4/1971 0:00,10/31/1979 23:59,40
150640,Klutmark,2,64.75,20.6333,9/1/1950 0:00,6/30/1966 23:59,80
151220,Lövånger,2,64.3636,21.3152,1/1/1962 0:00,12/31/2004 23:59,21
151240,Hökmarksberget V,2,64.43583,21.27997,3/1/1996 0:00,10/1/2016 10:00,92
151280,Bjuröklubb A,2,64.4812,21.5791,12/15/1995 0:00,10/1/2016 10:00,40
151290,Bjuröklubb,2,64.4806,21.5787,1/1/1949 0:00,12/31/1997 23:59,36
151380,Skellefteå Flygplats,2,64.6244,21.0717,1/1/1962 0:00,3/31/1992 23:59,46
151550,Furuögrund,2,64.9112,21.2263,11/1/1969 0:00,8/31/1983 23:59,10
151640,Ursviken,2,64.7166,21.15,1/1/1961 0:00,6/30/1967 23:59,5
154720,Klimpfjäll,2,65.062,14.7908,5/1/1981 0:00,11/30/1984 23:59,588
154730,Stekenjokk A,2,65.0942,14.5085,10/26/1995 0:00,10/1/2016 10:00,1036
154860,Abelvattnet Aut,2,65.53,14.97,5/1/1985 0:00,8/31/1996 23:59,665
155680,Kittelfjäll,2,65.25,15.5,6/1/1965 0:00,4/30/1966 23:59,560
155710,Blaikliden,2,65.0464,15.7486,9/1/1980 0:00,6/30/2000 23:59,520
155720,Marsliden,2,65.0251,15.3668,11/1/2000 0:00,11/30/2013 23:59,550
155790,Gielas A,2,65.328,15.0686,10/1/1996 0:00,10/1/2016 11:00,577
155900,Boksjö,2,65.6772,15.8245,8/1/1969 0:00,2/28/2015 23:59,475
155910,Tärnaby,2,65.7166,15.25,1/1/1949 0:00,12/31/1972 23:59,450
155940,Hemavan,2,65.7968,15.1045,10/1/1991 0:00,7/8/2008 23:59,475
155960,Hemavan-Giertevarto A,2,65.7832,15.0645,11/20/1995 13:00,10/1/2016 11:00,793
155970,Hemavan Flygplats,2,65.8077,15.0854,1/1/2008 0:00,10/1/2016 11:00,458
156730,Långvattnet,2,65.1049,16.6919,1/1/1961 0:00,1/31/1999 23:59,420
156770,Dikanäs,2,65.2365,15.9883,9/1/1966 0:00,12/31/1980 23:59,485
156790,Dikanäs Skansnäs,2,65.3235,16.0353,8/1/1983 0:00,3/13/2000 23:59,525
156850,Danasjö,2,65.5374,16.5393,7/1/1978 0:00,7/31/2002 23:59,652
156940,Vindel-Björkheden,2,65.8211,16.7114,10/1/1977 0:00,1/31/1996 23:59,350
156990,Ammarnäs,2,65.9744,16.2283,11/1/1991 0:00,8/31/2000 23:59,440
157720,Stensele,2,65.0706,17.1536,9/20/1983 0:00,12/31/2004 23:59,325
157860,Sorsele,2,65.5354,17.5225,10/14/1997 0:00,9/30/2016 23:59,360
157870,Buresjön A,2,65.5592,17.86,10/26/1995 0:00,10/1/2016 11:00,393
157930,Vindel-Storsjö,2,65.7666,17.05,1/1/1965 0:00,8/31/1977 23:59,345
